country,Years,continent,lifeExp,pop,gdpPercap
Suriname,2000,Latin America & Caribbean,67.822,470944,6202.416258
Suriname,2005,Latin America & Caribbean,68.877,499461,7550.378545
Suriname,2010,Latin America & Caribbean,70.465,529126,8941.993263
Suriname,2015,Latin America & Caribbean,71.249,559136,9168.237157
Suriname,2020,Latin America & Caribbean,71.802,586634,7529.6141
Sweden,2000,Europe & Central Asia,79.64390244,8872109,41117.15243
Sweden,2005,Europe & Central Asia,80.54634146,9029572,45990.37433
Sweden,2010,Europe & Central Asia,81.45121951,9378126,48369.91004
Sweden,2015,Europe & Central Asia,82.20487805,9799186,51545.48361
Sweden,2020,Europe & Central Asia,82.40731707,10353442,51539.56022
Switzerland,2000,Europe & Central Asia,79.68048781,7184250,74013.05641
Switzerland,2005,Europe & Central Asia,81.23658537,7437115,76784.63733
Switzerland,2010,Europe & Central Asia,82.24634146,7824909,82026.72451
Switzerland,2015,Europe & Central Asia,82.89756098,8282396,84776.14217
Switzerland,2020,Europe & Central Asia,83.1,8636561,85685.29027
Syrian Arab Republic,2000,Middle East & North Africa,73.11,16410847,1254.59845
Syrian Arab Republic,2005,Middle East & North Africa,74.43,18361178,1433.815243
Syrian Arab Republic,2010,Middle East & North Africa,72.108,21362541,1592.350737
Syrian Arab Republic,2015,Middle East & North Africa,69.908,17997411,916.3580331
Syrian Arab Republic,2020,Middle East & North Africa,73.651,17500657,
Tajikistan,2000,Europe & Central Asia,61.974,6216329,434.3443177
Tajikistan,2005,Europe & Central Asia,66.08,6789318,630.781964
Tajikistan,2010,Europe & Central Asia,68.736,7527397,783.5193787
Tajikistan,2015,Europe & Central Asia,70.137,8454019,978.4049812
Tajikistan,2020,Europe & Central Asia,71.301,9537642,1199.059889
Tanzania,2000,Sub-Saharan Africa,50.801,33499177,567.5401616
Tanzania,2005,Sub-Saharan Africa,54.349,38450323,692.4770826
Tanzania,2010,Sub-Saharan Africa,58.584,44346532,808.1404996
Tanzania,2015,Sub-Saharan Africa,63.111,51482638,947.9333517
Tanzania,2020,Sub-Saharan Africa,65.815,59734213,1061.170346
Thailand,2000,East Asia & Pacific,70.623,62952639,3517.798914
Thailand,2005,East Asia & Pacific,72.099,65416189,4412.444295
Thailand,2010,East Asia & Pacific,74.184,67195032,5163.597664
Thailand,2015,East Asia & Pacific,76.091,68714519,5840.053067
Thailand,2020,East Asia & Pacific,77.344,69799978,6198.414269
Timor-Leste,2000,East Asia & Pacific,59.002,884366,941.5899722
Timor-Leste,2005,East Asia & Pacific,63.882,995130,918.7274453
Timor-Leste,2010,East Asia & Pacific,67.186,1093517,1185.623103
Timor-Leste,2015,East Asia & Pacific,68.459,1196294,1332.791856
Timor-Leste,2020,East Asia & Pacific,69.712,1318442,1587.857159
Togo,2000,Sub-Saharan Africa,53.491,4924406,505.5008892
Togo,2005,Sub-Saharan Africa,54.602,5611643,467.8188481
Togo,2010,Sub-Saharan Africa,57.468,6421674,483.2360995
Togo,2015,Sub-Saharan Africa,59.927,7323162,570.9099672
Togo,2020,Sub-Saharan Africa,61.34,8278737,626.6220554
Tonga,2000,East Asia & Pacific,69.667,97962,3672.403764
Tonga,2005,East Asia & Pacific,69.836,100908,3875.163686
Tonga,2010,East Asia & Pacific,70.059,103981,3769.069514
Tonga,2015,East Asia & Pacific,70.517,100780,4336.239603
Tonga,2020,East Asia & Pacific,71.018,105697,4629.881391
Trinidad and Tobago,2000,Latin America & Caribbean,69.413,1267159,10619.92786
Trinidad and Tobago,2005,Latin America & Caribbean,70.691,1296497,15312.7211
Trinidad and Tobago,2010,Latin America & Caribbean,71.946,1328144,18105.34475
Trinidad and Tobago,2015,Latin America & Caribbean,72.941,1370332,18214.46062
Trinidad and Tobago,2020,Latin America & Caribbean,73.628,1399491,14872.37711
Tunisia,2000,Middle East & North Africa,73.172,9708347,2881.283835
Tunisia,2005,Middle East & North Africa,74.217,10106778,3350.563726
Tunisia,2010,Middle East & North Africa,75.041,10635245,3975.729073
Tunisia,2015,Middle East & North Africa,75.922,11179951,4094.836287
Tunisia,2020,Middle East & North Africa,76.891,11818618,3780.603112
Turkey,2000,Europe & Central Asia,70.005,63240196,6543.731447
Turkey,2005,Europe & Central Asia,72.424,67903461,7738.578215
Turkey,2010,Europe & Central Asia,74.507,72326992,8491.588652
Turkey,2015,Europe & Central Asia,76.532,78529413,11006.27952
Turkey,2020,Europe & Central Asia,77.928,84339067,12038.62811
Turkmenistan,2000,Europe & Central Asia,63.613,4516128,2288.244538
Turkmenistan,2005,Europe & Central Asia,65.017,4754652,2786.773872
Turkmenistan,2010,Europe & Central Asia,66.657,5087211,4265.948601
Turkmenistan,2015,Europe & Central Asia,67.704,5565283,6432.685325
Turkmenistan,2020,Europe & Central Asia,68.313,6031187,
Turks and Caicos Islands,2000,Latin America & Caribbean,,20171,
Turks and Caicos Islands,2005,Latin America & Caribbean,,28181,
Turks and Caicos Islands,2010,Latin America & Caribbean,,32658,
Turks and Caicos Islands,2015,Latin America & Caribbean,,35979,26183.88504
Turks and Caicos Islands,2020,Latin America & Caribbean,,38718,20723.91526
Tuvalu,2000,East Asia & Pacific,,9392,2880.2338
Tuvalu,2005,East Asia & Pacific,,9997,2722.395982
Tuvalu,2010,East Asia & Pacific,,10521,2820.600923
Tuvalu,2015,East Asia & Pacific,,11099,3197.772252
Tuvalu,2020,East Asia & Pacific,,11792,3791.458542
Uganda,2000,Sub-Saharan Africa,46.229,23650159,516.7330037
Uganda,2005,Sub-Saharan Africa,51.676,27684590,610.4893199
Uganda,2010,Sub-Saharan Africa,57.099,32428164,767.7385267
Uganda,2015,Sub-Saharan Africa,61.373,38225447,847.2676289
Uganda,2020,Sub-Saharan Africa,63.713,45741000,891.2959039
Ukraine,2000,Europe & Central Asia,67.67560976,49176500,1420.116569
Ukraine,2005,Europe & Central Asia,67.95682927,47105171,2144.247845
Ukraine,2010,Europe & Central Asia,70.26536585,45870741,2315.099789
Ukraine,2015,Europe & Central Asia,71.1895122,45154036,2124.662319
Ukraine,2020,Europe & Central Asia,71.18512195,44134693,2344.363068
United Arab Emirates,2000,Middle East & North Africa,74.327,3134067,60716.27309
United Arab Emirates,2005,Middle East & North Africa,75.376,4588222,53844.72281
United Arab Emirates,2010,Middle East & North Africa,76.332,8549998,32534.81755
United Arab Emirates,2015,Middle East & North Africa,77.285,9262896,38663.4005
United Arab Emirates,2020,Middle East & North Africa,78.12,9890400,37497.59259
United Kingdom,2000,Europe & Central Asia,77.74146342,58892514,39229.26846
United Kingdom,2005,Europe & Central Asia,79.04878049,60401206,43137.25515
United Kingdom,2010,Europe & Central Asia,80.40243902,62766365,42487.92541
United Kingdom,2015,Europe & Central Asia,80.95609756,65116219,45404.56777
United Kingdom,2020,Europe & Central Asia,80.90243902,67215293,43020.20346
United States,2000,North America,76.63658537,282162411,48689.03129
United States,2005,North America,77.48780488,295516599,52796.08982
United States,2010,North America,78.54146342,309327143,52759.99808
United States,2015,North America,78.6902439,320738994,56863.3715
United States,2020,North America,77.28048781,331501080,58203.37901
Uruguay,2000,Latin America & Caribbean,74.731,3319734,10083.464
Uruguay,2005,Latin America & Caribbean,75.826,3321799,10169.59687
Uruguay,2010,Latin America & Caribbean,76.75,3359273,13433.06207
Uruguay,2015,Latin America & Caribbean,77.369,3412013,15613.74597
Uruguay,2020,Latin America & Caribbean,78.056,3473727,15044.64003
Uzbekistan,2000,Europe & Central Asia,67.156,24650400,1276.760315
Uzbekistan,2005,Europe & Central Asia,68.407,26167000,1560.292008
Uzbekistan,2010,Europe & Central Asia,69.672,28562400,2131.357731
Uzbekistan,2015,Europe & Central Asia,70.928,31298900,2753.971072
Uzbekistan,2020,Europe & Central Asia,71.848,34232050,3154.408224
Vanuatu,2000,East Asia & Pacific,67.363,184964,2836.561024
Vanuatu,2005,East Asia & Pacific,68.35,209282,2621.912898
Vanuatu,2010,East Asia & Pacific,69.123,236216,2855.868093
Vanuatu,2015,East Asia & Pacific,69.869,271128,2695.666186
Vanuatu,2020,East Asia & Pacific,70.623,307150,2638.892416
"Venezuela, RB",2000,Latin America & Caribbean,72.112,24192449,
"Venezuela, RB",2005,Latin America & Caribbean,72.852,26432445,
"Venezuela, RB",2010,Latin America & Caribbean,73.134,28439942,
"Venezuela, RB",2015,Latin America & Caribbean,72.584,30081827,
"Venezuela, RB",2020,Latin America & Caribbean,72.066,28435943,
Vietnam,2000,East Asia & Pacific,73.025,79910411,957.0037528
Vietnam,2005,East Asia & Pacific,74.092,83832662,1273.345509
Vietnam,2010,East Asia & Pacific,74.837,87967655,1648.2618
Vietnam,2015,East Asia & Pacific,75.11,92677082,2085.101349
Vietnam,2020,East Asia & Pacific,75.493,97338583,2655.767774
Virgin Islands (U.S.),2000,Latin America & Caribbean,76.6195122,108642,
Virgin Islands (U.S.),2005,Latin America & Caribbean,77.42195122,108453,46021.59057
Virgin Islands (U.S.),2010,Latin America & Caribbean,77.86585366,108357,47162.73756
Virgin Islands (U.S.),2015,Latin America & Caribbean,79.01707317,107712,34007.35294
Virgin Islands (U.S.),2020,Latin America & Caribbean,79.8195122,106290,
West Bank and Gaza,2000,Middle East & North Africa,71.022,2922153,2436.003015
West Bank and Gaza,2005,Middle East & North Africa,72.028,3320396,2632.246274
West Bank and Gaza,2010,Middle East & North Africa,72.788,3786161,2927.08102
West Bank and Gaza,2015,Middle East & North Africa,73.442,4270092,3272.154324
West Bank and Gaza,2020,Middle East & North Africa,74.213,4803269,2917.887797
"Yemen, Rep.",2000,Middle East & North Africa,60.683,17409071,2383.748084
"Yemen, Rep.",2005,Middle East & North Africa,63.481,20107416,2536.188835
"Yemen, Rep.",2010,Middle East & North Africa,65.549,23154854,2722.521398
"Yemen, Rep.",2015,Middle East & North Africa,66.085,26497881,1601.830063
"Yemen, Rep.",2020,Middle East & North Africa,66.181,29825968,
Zambia,2000,Sub-Saharan Africa,44,10415942,773.7207264
Zambia,2005,Sub-Saharan Africa,48.496,11856244,918.310355
Zambia,2010,Sub-Saharan Africa,55.655,13605986,1214.694994
Zambia,2015,Sub-Saharan Africa,61.737,15879370,1338.290927
Zambia,2020,Sub-Saharan Africa,64.194,18383956,1273.879558
Zimbabwe,2000,Sub-Saharan Africa,44.649,11881482,1696.753262
Zimbabwe,2005,Sub-Saharan Africa,43.241,12076697,1137.30318
Zimbabwe,2010,Sub-Saharan Africa,50.64,12697728,1110.447012
Zimbabwe,2015,Sub-Saharan Africa,59.534,13814642,1445.069702
Zimbabwe,2020,Sub-Saharan Africa,61.738,14862927,1307.01363
